case,first_assessor,second_assessor,third_assessor
1,clinician_1,clinician_3,clinician_5
2,clinician_2,clinician_4,clinician_6
3,clinician_3,clinician_5,clinician_7
4,clinician_4,clinician_6,clinician_8
5,clinician_5,clinician_7,clinician_9
6,clinician_6,clinician_8,clinician_10
7,clinician_7,clinician_9,clinician_11
8,clinician_8,clinician_10,clinician_12
9,clinician_9,clinician_11,clinician_13
10,clinician_10,clinician_12,clinician_14
11,clinician_11,clinician_13,clinician_15
12,clinician_12,clinician_14,clinician_16
13,clinician_13,clinician_15,clinician_17
14,clinician_14,clinician_16,clinician_18
15,clinician_15,clinician_17,clinician_19
16,clinician_16,clinician_18,clinician_20
17,clinician_17,clinician_19,clinician_21
18,clinician_18,clinician_20,clinician_22
19,clinician_19,clinician_21,clinician_23
20,clinician_20,clinician_22,clinician_24
21,clinician_21,clinician_23,clinician_25
22,clinician_22,clinician_24,clinician_26
23,clinician_23,clinician_25,clinician_27
24,clinician_24,clinician_26,clinician_28
25,clinician_25,clinician_27,clinician_29
26,clinician_26,clinician_28,clinician_30
27,clinician_27,clinician_29,clinician_1
28,clinician_28,clinician_30,clinician_2
29,clinician_29,clinician_1,clinician_3
30,clinician_30,clinician_2,clinician_4
31,clinician_1,clinician_3,clinician_5
32,clinician_2,clinician_4,clinician_6
33,clinician_3,clinician_5,clinician_7
34,clinician_4,clinician_6,clinician_8
35,clinician_5,clinician_7,clinician_9
36,clinician_6,clinician_8,clinician_10
37,clinician_7,clinician_9,clinician_11
38,clinician_8,clinician_10,clinician_12
39,clinician_9,clinician_11,clinician_13
40,clinician_10,clinician_12,clinician_14
41,clinician_11,clinician_13,clinician_15
42,clinician_12,clinician_14,clinician_16
43,clinician_13,clinician_15,clinician_17
44,clinician_14,clinician_16,clinician_18
45,clinician_15,clinician_17,clinician_19
46,clinician_16,clinician_18,clinician_20
47,clinician_17,clinician_19,clinician_21
48,clinician_18,clinician_20,clinician_22
49,clinician_19,clinician_21,clinician_23
50,clinician_20,clinician_22,clinician_24
51,clinician_21,clinician_23,clinician_25
52,clinician_22,clinician_24,clinician_26
53,clinician_23,clinician_25,clinician_27
54,clinician_24,clinician_26,clinician_28
55,clinician_25,clinician_27,clinician_29
56,clinician_26,clinician_28,clinician_30
57,clinician_27,clinician_29,clinician_1
58,clinician_28,clinician_30,clinician_2
59,clinician_29,clinician_1,clinician_3
60,clinician_30,clinician_2,clinician_4
61,clinician_1,clinician_3,clinician_5
62,clinician_2,clinician_4,clinician_6
63,clinician_3,clinician_5,clinician_7
64,clinician_4,clinician_6,clinician_8
65,clinician_5,clinician_7,clinician_9
66,clinician_6,clinician_8,clinician_10
67,clinician_7,clinician_9,clinician_11
68,clinician_8,clinician_10,clinician_12
69,clinician_9,clinician_11,clinician_13
70,clinician_10,clinician_12,clinician_14
71,clinician_11,clinician_13,clinician_15
72,clinician_12,clinician_14,clinician_16
73,clinician_13,clinician_15,clinician_17
74,clinician_14,clinician_16,clinician_18
75,clinician_15,clinician_17,clinician_19
76,clinician_16,clinician_18,clinician_20
77,clinician_17,clinician_19,clinician_21
78,clinician_18,clinician_20,clinician_22
79,clinician_19,clinician_21,clinician_23
80,clinician_20,clinician_22,clinician_24
81,clinician_21,clinician_23,clinician_25
82,clinician_22,clinician_24,clinician_26
83,clinician_23,clinician_25,clinician_27
84,clinician_24,clinician_26,clinician_28
85,clinician_25,clinician_27,clinician_29
86,clinician_26,clinician_28,clinician_30
87,clinician_27,clinician_29,clinician_1
88,clinician_28,clinician_30,clinician_2
89,clinician_29,clinician_1,clinician_3
90,clinician_30,clinician_2,clinician_4
91,clinician_1,clinician_3,clinician_5
92,clinician_2,clinician_4,clinician_6
93,clinician_3,clinician_5,clinician_7
94,clinician_4,clinician_6,clinician_8
95,clinician_5,clinician_7,clinician_9
96,clinician_6,clinician_8,clinician_10
97,clinician_7,clinician_9,clinician_11
98,clinician_8,clinician_10,clinician_12
99,clinician_9,clinician_11,clinician_13
100,clinician_10,clinician_12,clinician_14
101,clinician_11,clinician_13,clinician_15
102,clinician_12,clinician_14,clinician_16
103,clinician_13,clinician_15,clinician_17
104,clinician_14,clinician_16,clinician_18
105,clinician_15,clinician_17,clinician_19
106,clinician_16,clinician_18,clinician_20
107,clinician_17,clinician_19,clinician_21
108,clinician_18,clinician_20,clinician_22
109,clinician_19,clinician_21,clinician_23
110,clinician_20,clinician_22,clinician_24
111,clinician_21,clinician_23,clinician_25
112,clinician_22,clinician_24,clinician_26
113,clinician_23,clinician_25,clinician_27
114,clinician_24,clinician_26,clinician_28
115,clinician_25,clinician_27,clinician_29
116,clinician_26,clinician_28,clinician_30
117,clinician_27,clinician_29,clinician_1
118,clinician_28,clinician_30,clinician_2
119,clinician_29,clinician_1,clinician_3
120,clinician_30,clinician_2,clinician_4
121,clinician_1,clinician_3,clinician_5
122,clinician_2,clinician_4,clinician_6
123,clinician_3,clinician_5,clinician_7
124,clinician_4,clinician_6,clinician_8
125,clinician_5,clinician_7,clinician_9
126,clinician_6,clinician_8,clinician_10
127,clinician_7,clinician_9,clinician_11
128,clinician_8,clinician_10,clinician_12
129,clinician_9,clinician_11,clinician_13
130,clinician_10,clinician_12,clinician_14
131,clinician_11,clinician_13,clinician_15
132,clinician_12,clinician_14,clinician_16
133,clinician_13,clinician_15,clinician_17
134,clinician_14,clinician_16,clinician_18
135,clinician_15,clinician_17,clinician_19
136,clinician_16,clinician_18,clinician_20
137,clinician_17,clinician_19,clinician_21
138,clinician_18,clinician_20,clinician_22
139,clinician_19,clinician_21,clinician_23
140,clinician_20,clinician_22,clinician_24
141,clinician_21,clinician_23,clinician_25
142,clinician_22,clinician_24,clinician_26
143,clinician_23,clinician_25,clinician_27
144,clinician_24,clinician_26,clinician_28
145,clinician_25,clinician_27,clinician_29
146,clinician_26,clinician_28,clinician_30
147,clinician_27,clinician_29,clinician_1
148,clinician_28,clinician_30,clinician_2
149,clinician_29,clinician_1,clinician_3
150,clinician_30,clinician_2,clinician_4
151,clinician_1,clinician_3,clinician_5
152,clinician_2,clinician_4,clinician_6
153,clinician_3,clinician_5,clinician_7
154,clinician_4,clinician_6,clinician_8
155,clinician_5,clinician_7,clinician_9
156,clinician_6,clinician_8,clinician_10
157,clinician_7,clinician_9,clinician_11
158,clinician_8,clinician_10,clinician_12
159,clinician_9,clinician_11,clinician_13
160,clinician_10,clinician_12,clinician_14
161,clinician_11,clinician_13,clinician_15
162,clinician_12,clinician_14,clinician_16
163,clinician_13,clinician_15,clinician_17
164,clinician_14,clinician_16,clinician_18
165,clinician_15,clinician_17,clinician_19
166,clinician_16,clinician_18,clinician_20
167,clinician_17,clinician_19,clinician_21
168,clinician_18,clinician_20,clinician_22
169,clinician_19,clinician_21,clinician_23
170,clinician_20,clinician_22,clinician_24
171,clinician_21,clinician_23,clinician_25
172,clinician_22,clinician_24,clinician_26
173,clinician_23,clinician_25,clinician_27
174,clinician_24,clinician_26,clinician_28
175,clinician_25,clinician_27,clinician_29
176,clinician_26,clinician_28,clinician_30
177,clinician_27,clinician_29,clinician_1
178,clinician_28,clinician_30,clinician_2
179,clinician_29,clinician_1,clinician_3
180,clinician_30,clinician_2,clinician_4
181,clinician_1,clinician_3,clinician_5
182,clinician_2,clinician_4,clinician_6
183,clinician_3,clinician_5,clinician_7
184,clinician_4,clinician_6,clinician_8
185,clinician_5,clinician_7,clinician_9
186,clinician_6,clinician_8,clinician_10
187,clinician_7,clinician_9,clinician_11
188,clinician_8,clinician_10,clinician_12
189,clinician_9,clinician_11,clinician_13
190,clinician_10,clinician_12,clinician_14
191,clinician_11,clinician_13,clinician_15
192,clinician_12,clinician_14,clinician_16
193,clinician_13,clinician_15,clinician_17
194,clinician_14,clinician_16,clinician_18
195,clinician_15,clinician_17,clinician_19
196,clinician_16,clinician_18,clinician_20
197,clinician_17,clinician_19,clinician_21
198,clinician_18,clinician_20,clinician_22
199,clinician_19,clinician_21,clinician_23
200,clinician_20,clinician_22,clinician_24
201,clinician_21,clinician_23,clinician_25
202,clinician_22,clinician_24,clinician_26
203,clinician_23,clinician_25,clinician_27
204,clinician_24,clinician_26,clinician_28
205,clinician_25,clinician_27,clinician_29
206,clinician_26,clinician_28,clinician_30
207,clinician_27,clinician_29,clinician_1
208,clinician_28,clinician_30,clinician_2
209,clinician_29,clinician_1,clinician_3
210,clinician_30,clinician_2,clinician_4
211,clinician_1,clinician_3,clinician_5
212,clinician_2,clinician_4,clinician_6
213,clinician_3,clinician_5,clinician_7
214,clinician_4,clinician_6,clinician_8
215,clinician_5,clinician_7,clinician_9
216,clinician_6,clinician_8,clinician_10
217,clinician_7,clinician_9,clinician_11
218,clinician_8,clinician_10,clinician_12
219,clinician_9,clinician_11,clinician_13
220,clinician_10,clinician_12,clinician_14
221,clinician_11,clinician_13,clinician_15
222,clinician_12,clinician_14,clinician_16
223,clinician_13,clinician_15,clinician_17
224,clinician_14,clinician_16,clinician_18
225,clinician_15,clinician_17,clinician_19
226,clinician_16,clinician_18,clinician_20
227,clinician_17,clinician_19,clinician_21
228,clinician_18,clinician_20,clinician_22
229,clinician_19,clinician_21,clinician_23
230,clinician_20,clinician_22,clinician_24
231,clinician_21,clinician_23,clinician_25
232,clinician_22,clinician_24,clinician_26
233,clinician_23,clinician_25,clinician_27
234,clinician_24,clinician_26,clinician_28
235,clinician_25,clinician_27,clinician_29
236,clinician_26,clinician_28,clinician_30
237,clinician_27,clinician_29,clinician_1
238,clinician_28,clinician_30,clinician_2
239,clinician_29,clinician_1,clinician_3
240,clinician_30,clinician_2,clinician_4
241,clinician_1,clinician_3,clinician_5
242,clinician_2,clinician_4,clinician_6
243,clinician_3,clinician_5,clinician_7
244,clinician_4,clinician_6,clinician_8
245,clinician_5,clinician_7,clinician_9
246,clinician_6,clinician_8,clinician_10
247,clinician_7,clinician_9,clinician_11
248,clinician_8,clinician_10,clinician_12
249,clinician_9,clinician_11,clinician_13
250,clinician_10,clinician_12,clinician_14
251,clinician_11,clinician_13,clinician_15
252,clinician_12,clinician_14,clinician_16
253,clinician_13,clinician_15,clinician_17
254,clinician_14,clinician_16,clinician_18
255,clinician_15,clinician_17,clinician_19
256,clinician_16,clinician_18,clinician_20
257,clinician_17,clinician_19,clinician_21
258,clinician_18,clinician_20,clinician_22
259,clinician_19,clinician_21,clinician_23
260,clinician_20,clinician_22,clinician_24
261,clinician_21,clinician_23,clinician_25
262,clinician_22,clinician_24,clinician_26
263,clinician_23,clinician_25,clinician_27
264,clinician_24,clinician_26,clinician_28
265,clinician_25,clinician_27,clinician_29
266,clinician_26,clinician_28,clinician_30
267,clinician_27,clinician_29,clinician_1
268,clinician_28,clinician_30,clinician_2
269,clinician_29,clinician_1,clinician_3
270,clinician_30,clinician_2,clinician_4
271,clinician_1,clinician_3,clinician_5
272,clinician_2,clinician_4,clinician_6
273,clinician_3,clinician_5,clinician_7
274,clinician_4,clinician_6,clinician_8
275,clinician_5,clinician_7,clinician_9
276,clinician_6,clinician_8,clinician_10
277,clinician_7,clinician_9,clinician_11
278,clinician_8,clinician_10,clinician_12
279,clinician_9,clinician_11,clinician_13
280,clinician_10,clinician_12,clinician_14
281,clinician_11,clinician_13,clinician_15
282,clinician_12,clinician_14,clinician_16
283,clinician_13,clinician_15,clinician_17
284,clinician_14,clinician_16,clinician_18
285,clinician_15,clinician_17,clinician_19
286,clinician_16,clinician_18,clinician_20
287,clinician_17,clinician_19,clinician_21
288,clinician_18,clinician_20,clinician_22
289,clinician_19,clinician_21,clinician_23
290,clinician_20,clinician_22,clinician_24
291,clinician_21,clinician_23,clinician_25
292,clinician_22,clinician_24,clinician_26
293,clinician_23,clinician_25,clinician_27
294,clinician_24,clinician_26,clinician_28
295,clinician_25,clinician_27,clinician_29
296,clinician_26,clinician_28,clinician_30
297,clinician_27,clinician_29,clinician_1
298,clinician_28,clinician_30,clinician_2
299,clinician_29,clinician_1,clinician_3
300,clinician_30,clinician_2,clinician_4